shape,estimate
circle,15
circle,13
circle,17
circle,18
circle,18
circle,18
circle,18
circle,20
circle,15
circle,12
circle,18
circle,15
circle,15
circle,20
circle,20
circle,30
circle,20
circle,14
circle,12.5
circle,31.4
circle,21.2
oblong,20
oblong,15
oblong,23
oblong,18
oblong,25
oblong,20
oblong,25
oblong,20
oblong,20
oblong,25
oblong,14
oblong,25
oblong,17
oblong,27
oblong,15
oblong,20
oblong,18
oblong,25
oblong,20
oblong,25
oblong,25
oblong,22
oblong,200
oblong,18.5
square,14
square,14
square,16
square,12
square,13
square,18
square,16
square,15
square,16
square,16
square,20
square,13
square,20
square,150
square,15
square,15
square,30
square,25
square,17
square,20
square,18
square,14
square,15
square,25
square,15
triangle,20
triangle,120
triangle,20
triangle,25
triangle,25
triangle,25
triangle,20
triangle,20
triangle,17
triangle,25
triangle,25
triangle,26
triangle,18
triangle,20
triangle,25
triangle,25
triangle,17
triangle,27
triangle,18
triangle,40
triangle,20
triangle,15
triangle,18
triangle,25
triangle,20
triangle,30
triangle,30
triangle,20
triangle,17.5
triangle,33.5
